FamilyID	SampleID	FatherID	MotherID	Sex	Population	Superpopulation
1	DG18	0	DG213	1	ARG	AMR
1	DG213	0	0	1	ARG	AMR
2	DG33	0	DG34	0	ARG	AMR
2	DG34	0	0	1	ARG	AMR
3	DG250	0	DG60	0	ARG	AMR
3	DG60	0	0	1	ARG	AMR
4	DG233	0	DG76	0	ARG	AMR
4	DG76	0	0	1	ARG	AMR
5	DG132	0	DG133	1	ARG	AMR
5	DG133	0	0	1	ARG	AMR
6	DG139	0	DG161	1	ARG	AMR
6	DG161	0	0	1	ARG	AMR
7	DG179	0	DG180	1	ARG	AMR
7	DG180	0	0	1	ARG	AMR
8	DG185	0	DG184	0	ARG	AMR
8	DG184	0	0	1	ARG	AMR
8	DG193	0	DG184	1	ARG	AMR
10	DG221	0	DG220	1	ARG	AMR
10	DG220	0	0	1	ARG	AMR
10	DG222	0	DG220	0	ARG	AMR
12	DG224	0	DG225	0	ARG	AMR
12	DG225	0	0	1	ARG	AMR
13	DG231	0	DG232	1	ARG	AMR
13	DG232	0	0	1	ARG	AMR
14	DG236	0	DG237	0	ARG	AMR
14	DG237	0	0	1	ARG	AMR
15	DG242	0	DG243	1	ARG	AMR
15	DG243	0	0	1	ARG	AMR
16	DG246	0	DG247	1	ARG	AMR
16	DG247	0	0	1	ARG	AMR
17	DG249	0	DG248	0	ARG	AMR
17	DG248	0	0	1	ARG	AMR
