SampleID	Haplogroup	Overall_Rank
DG132	T2b3+151	0.9263
DG133	T2b3+151	0.9263
DG139	A2+(64)	0.9337
DG161	A2+(64)	0.9337
DG179	B2	0.7992
DG18	A2+(64)+@153	0.8844
DG180	B2	0.7992
DG184	H3ao1	0.9259
DG185	H3ao1	0.9259
DG193	H3ao1	0.9259
DG213	A2+(64)+@153	0.8748
DG220	U1a1a3	0.6949
DG221	U1a1a3	0.8961
DG222	U1a1a3	0.8875
DG224	B2	0.7848
DG225	B2	0.7848
DG231	T2b	0.9604
DG232	T2b	0.9455
DG233	D1j1a1	0.9682
DG236	U5b1+16189+@16192	0.9557
DG237	U5b1+16189+@16192	0.9557
DG242	B2b3a	0.9069
DG243	B2b3a	0.9069
DG246	A2+(64)	0.9253
DG247	A2+(64)	0.9253
DG248	U5a1a1	0.9646
DG249	U5a1a1	0.9646
DG250	A2+(64)	0.9656
DG33	D1j1a	0.9325
DG34	D1j1a	0.9431
DG60	A2+(64)	0.9656
DG76	D1j1a1	0.9782
