SampleID	Haplogroup	Overall_Rank
HG00096	H16a1	0.7732
HG00097	T2+16189	0.7797
HG00099	H1ae	0.7850
HG00100	X2b	0.7724
HG00101	J1c3g	0.8738
HG00102	H58a	0.7381
HG00103	J1c3b	0.8471
HG00105	H1m	0.6216
HG00106	J2b1a	0.7996
HG00107	J1c3b	0.8574
HG00108	X2b	0.7981
HG00109	U4	0.8438
HG00110	H1e1a	0.6568
HG00111	H1e2	0.7745
HG00112	H5b2	0.7988
HG00113	X2b	0.7664
HG00114	U5b2c2b	0.8535
HG00115	T2b23	0.8046
HG00116	U5b2c2b	0.8535
HG00117	J1c2e1	0.8535
HG00118	H3a1a	0.7302
HG00119	T1a1+@152	0.8303
HG00120	J1c	0.8879
HG00121	K1a4	0.8746
HG00122	U5b2c2b	0.8391
HG00123	H2a2b5a	0.7932
HG00125	H1e2	0.7247
HG00126	H23	0.6946
HG00127	H2a2a1f	0.6552
HG00128	K2b1a3	0.8773
HG00129	H3k1a	0.7363
HG00130	X2b4	0.7925
HG00131	H2a2a	0.6964
HG00132	U5a2a1	0.8634
HG00133	H26a1a1	0.7235
HG00136	T2b	0.8038
HG00137	H+195+146	0.6257
HG00138	H1b1+16362	0.7717
HG00139	H4a1a4b	0.8055
HG00140	H4a1a4b	0.7644
HG00141	T2b19b	0.8404
HG00142	U5a1b	0.8388
HG00143	H20	0.7427
HG00145	U5a1a1+16362	0.8105
HG00146	U5a2a1	0.8738
HG00148	W5a2	0.8241
HG00149	H24a	0.7122
HG00150	H1c1	0.7032
HG00151	H27	0.7980
HG00154	I4a2	0.8566
HG00155	U4b1b2	0.7589
HG00157	H5	0.6912
HG00158	H1e2c	0.7908
HG00159	H2a	0.6439
HG00160	U5a2b2	0.8439
HG00171	V1a1a	0.7450
HG00173	U5b1b2	0.8356
HG00174	U5b1b2	0.8356
HG00176	U8a1a1b	0.8315
HG00177	K1c1c	0.8295
HG00178	H13a1a1d1	0.7484
HG00179	H10e	0.7858
HG00180	H1a	0.8038
HG00181	U4d1	0.8059
HG00182	H1	0.6753
HG00183	H45a	0.6775
HG00185	K1c1c	0.8281
HG00186	U4d1	0.8298
HG00187	U5b1b2a	0.8416
HG00188	U5b1b1a	0.8109
HG00189	H1+16189	0.7443
HG00190	H7a1a	0.6714
HG00231	W5a1	0.7863
HG00232	H1+16189	0.7664
HG00233	H13c	0.7873
HG00234	T2a1a	0.8084
HG00235	J1c2t	0.8632
HG00236	K2a3	0.8820
HG00237	H3b4a	0.7688
HG00238	U5b1c1a1	0.8642
HG00239	H3z	0.7121
HG00240	U5b1c1a1	0.8410
HG00242	U5b2a1b	0.8394
HG00243	K2b1a2	0.8989
HG00244	X2b5	0.7837
HG00245	H3g1	0.7357
HG00246	T2b5	0.8242
HG00250	U4b1a2a	0.8471
HG00251	H5n	0.7273
HG00252	H2a	0.6378
HG00253	I1a1b	0.8393
HG00254	H5a8	0.7231
HG00255	U4b1a2b	0.8417
HG00256	H5b2	0.7225
HG00257	J1c8a	0.8904
HG00258	J1c	0.8551
HG00259	T2b+152	0.8276
HG00260	U5b2a2c	0.8613
HG00261	J1c3	0.8387
HG00262	T2b13	0.8094
HG00263	U8a1b	0.7858
HG00264	H5s	0.7643
HG00265	T2b19	0.8315
HG00266	H2a	0.6626
HG00267	U4	0.8121
HG00268	U5a2a1a	0.8777
HG00269	H1a	0.8038
HG00271	U5b1b2a	0.8416
HG00272	H1c3b	0.7200
HG00273	U5b1b2a	0.7841
HG00274	U5b1b2a	0.7991
HG00275	U5b1b2	0.7937
HG00276	J1c2n1	0.8527
HG00277	U5b1b1a1a	0.8180
HG00278	H1n4	0.7165
HG00280	X2c	0.7956
HG00281	U5a1a1h	0.8668
HG00282	V1a1a	0.7450
HG00284	U5b2a1a1d	0.8219
HG00285	U5b1b2	0.8090
HG00288	U5a1b1h	0.9006
HG00290	U5a2a1a	0.8917
HG00304	H2a1a	0.7428
HG00306	U5a2	0.8864
HG00308	W1a	0.8176
HG00309	H5a1a	0.6532
HG00310	H1a	0.7976
HG00311	U5b1b2a	0.8113
HG00313	H1	0.7358
HG00315	J1b1a1	0.8730
HG00318	H2a5	0.6552
HG00319	H6a1a	0.7192
HG00320	U5b1b1a	0.8410
HG00321	U4	0.8121
HG00323	V1a1a	0.7315
HG00324	H13a1a1d1	0.7484
HG00325	H4a1a1a	0.7945
HG00326	K1c1c	0.8512
HG00327	H2a	0.6423
HG00328	H3b+16129	0.6964
HG00329	I2a1	0.8755
HG00330	U5b1b2	0.8056
HG00331	K1a4a1a2b	0.8710
HG00332	J1c2c	0.8557
HG00334	J1c3	0.8741
HG00335	H1+16189	0.7664
HG00336	W6	0.8142
