SAMPLE	AFR_ANCESTRY
HG00551	0.12217391304347829
HG00552	0.12026086956521741
HG00553	0.222695652173913
HG00554	0.12291304347826089
HG00555	0.1652173913043479
HG00637	0.20378260869565218
HG00638	0.18926086956521737
HG00639	0.17234782608695653
HG00640	0.11347826086956521
HG00641	0.11443478260869563
HG00642	0.10730434782608693
HG00731	0.07756521739130436
HG00732	0.09552173913043477
HG00733	0.0877391304347826
HG00734	0.13617391304347823
HG00735	0.13030434782608696
HG00736	0.1006086956521739
HG00737	0.12621739130434784
HG00738	0.11108695652173914
HG00739	0.09700000000000002
HG00740	0.1785217391304348
HG00741	0.14504347826086955
HG01047	0.12378260869565215
HG01048	0.13860869565217393
HG01049	0.24669565217391307
HG01050	0.1708260869565217
HG01051	0.25665217391304346
HG01052	0.22086956521739132
HG01053	0.21730434782608693
HG01054	0.10256521739130432
HG01055	0.157
HG01056	0.12995652173913044
HG01060	0.13521739130434782
HG01061	0.10756521739130431
HG01062	0.10782608695652174
HG01066	0.10365217391304349
HG01067	0.1142173913043478
HG01068	0.10856521739130434
HG01069	0.11182608695652174
HG01070	0.09104347826086956
HG01071	0.10304347826086957
HG01072	0.12539130434782605
HG01073	0.11326086956521739
HG01074	0.10830434782608699
HG01075	0.1419130434782609
HG01079	0.1959130434782608
HG01080	0.12269565217391303
HG01081	0.1652608695652174
HG01082	0.2272173913043478
HG01083	0.12856521739130433
HG01084	0.1902608695652174
HG01085	0.16421739130434782
HG01086	0.1587826086956522
HG01087	0.1670434782608696
HG01094	0.16830434782608694
HG01095	0.1517826086956522
HG01096	0.17169565217391303
HG01097	0.12252173913043478
HG01098	0.13547826086956521
HG01099	0.12047826086956522
HG01100	0.16830434782608697
HG01101	0.17891304347826087
HG01102	0.2086956521739131
HG01103	0.1773913043478261
HG01104	0.13117391304347825
HG01105	0.11621739130434779
HG01106	0.12391304347826085
HG01107	0.25656521739130433
HG01108	0.6288695652173913
HG01109	0.43395652173913035
HG01110	0.16186956521739135
HG01111	0.15560869565217397
HG01112	0.06782608695652169
HG01113	0.06278260869565212
HG01114	0.05617391304347821
HG01124	0.16356521739130434
HG01125	0.14621739130434785
HG01126	0.1453478260869565
HG01133	0.07326086956521735
HG01134	0.16334782608695653
HG01135	0.11547826086956517
HG01136	0.12543478260869567
HG01137	0.0756086956521739
HG01138	0.10178260869565219
HG01139	0.2010434782608696
HG01140	0.08865217391304345
HG01141	0.1579130434782609
HG01148	0.09739130434782607
HG01149	0.14713043478260868
HG01150	0.1245652173913044
HG01167	0.2534782608695653
HG01168	0.07147826086956519
HG01169	0.15769565217391304
HG01170	0.14669565217391306
HG01171	0.21321739130434778
HG01172	0.16943478260869566
HG01173	0.11395652173913041
