SAMPLE	AMR_ANCESTRY
HG00551	0.17978260869565216
HG00552	0.12482608695652173
HG00553	0.21243478260869567
HG00554	0.16921739130434785
HG00555	0.19165217391304354
HG00637	0.1685652173913044
HG00638	0.19208695652173913
HG00639	0.17095652173913048
HG00640	0.15239130434782613
HG00641	0.18478260869565216
HG00642	0.15813043478260866
HG00731	0.12565217391304348
HG00732	0.1838695652173913
HG00733	0.1538695652173913
HG00734	0.24000000000000002
HG00735	0.18443478260869564
HG00736	0.141
HG00737	0.15082608695652172
HG00738	0.15073913043478263
HG00739	0.1013478260869565
HG00740	0.16952173913043478
HG00741	0.1406086956521739
HG01047	0.141
HG01048	0.1721739130434783
HG01049	0.17530434782608695
HG01050	0.19591304347826088
HG01051	0.2064782608695652
HG01052	0.2195217391304347
HG01053	0.20899999999999994
HG01054	0.18286956521739137
HG01055	0.16169565217391305
HG01056	0.16882608695652176
HG01060	0.1555217391304348
HG01061	0.1594347826086957
HG01062	0.15282608695652175
HG01066	0.15613043478260868
HG01067	0.17782608695652175
HG01068	0.1687826086956522
HG01069	0.1956521739130435
HG01070	0.19039130434782606
HG01071	0.18365217391304345
HG01072	0.17508695652173908
HG01073	0.19643478260869568
HG01074	0.18486956521739137
HG01075	0.09652173913043476
HG01079	0.16708695652173913
HG01080	0.22313043478260872
HG01081	0.191
HG01082	0.19526086956521738
HG01083	0.20369565217391306
HG01084	0.18334782608695654
HG01085	0.15834782608695655
HG01086	0.21547826086956512
HG01087	0.17656521739130437
HG01094	0.16560869565217387
HG01095	0.1740869565217391
HG01096	0.139
HG01097	0.20021739130434785
HG01098	0.17404347826086958
HG01099	0.1912608695652174
HG01100	0.1840869565217391
HG01101	0.21156521739130432
HG01102	0.1611739130434783
HG01103	0.17056521739130434
HG01104	0.1656086956521739
HG01105	0.12743478260869567
HG01106	0.1430869565217391
HG01107	0.17173913043478262
HG01108	0.11013043478260869
HG01109	0.14030434782608694
HG01110	0.18269565217391304
HG01111	0.1738695652173913
HG01112	0.1137826086956522
HG01113	0.31495652173913047
HG01114	0.21065217391304342
HG01124	0.30591304347826087
HG01125	0.289304347826087
HG01126	0.31434782608695655
HG01133	0.16217391304347825
HG01134	0.2438260869565217
HG01135	0.22295652173913041
HG01136	0.269304347826087
HG01137	0.3609130434782608
HG01138	0.31291304347826093
HG01139	0.2956521739130435
HG01140	0.29865217391304344
HG01141	0.27213043478260873
HG01148	0.2993043478260869
HG01149	0.4180434782608696
HG01150	0.3317826086956521
HG01167	0.1750434782608696
HG01168	0.10578260869565215
HG01169	0.13599999999999998
HG01170	0.19717391304347825
HG01171	0.1670434782608696
HG01172	0.17878260869565218
HG01173	0.09330434782608693
HG01174	0.1624347826086956
HG01175	0.12891304347826085
HG01176	0.19073913043478263
HG01177	0.2067391304347826
HG01178	0.15330434782608698
HG01182	0.20286956521739133
HG01183	0.19960869565217396
HG01184	0.19460869565217392
HG01187	0.25565217391304346
HG01188	0.23830434782608695
HG01189	0.23295652173913042
HG01190	0.23682608695652174
HG01191	0.24321739130434783
HG01192	0.24369565217391298
HG01197	0.17704347826086952
HG01198	0.1736521739130435
HG01199	0.16369565217391305
HG01204	0.17447826086956525
HG01205	0.144
HG01206	0.14926086956521736
HG01241	0.09917391304347827
HG01242	0.09343478260869563
HG01243	0.08878260869565215
HG01247	0.2131304347826087
HG01248	0.1527826086956522
HG01249	0.18743478260869562
HG01250	0.32365217391304346
HG01251	0.274304347826087
HG01252	0.28639130434782606
HG01253	0.23465217391304352
HG01254	0.3136956521739131
HG01255	0.2814782608695651
HG01256	0.1991304347826087
HG01257	0.3069130434782608
HG01258	0.23160869565217387
HG01259	0.1670434782608696
HG01260	0.31926086956521743
HG01261	0.25665217391304346
HG01271	0.2829565217391305
HG01272	0.2985217391304348
HG01273	0.28169565217391307
HG01274	0.2926086956521739
HG01275	0.08013043478260866
HG01276	0.19456521739130433
HG01277	0.3491304347826087
HG01278	0.36904347826086953
HG01279	0.34295652173913044
HG01341	0.5759565217391305
HG01342	0.2216521739130435
HG01343	0.3921304347826088
HG01344	0.3966521739130435
HG01345	0.24547826086956526
HG01346	0.3086956521739131
HG01347	0.24356521739130432
HG01348	0.376608695652174
HG01349	0.27295652173913043
HG01350	0.36699999999999994
HG01351	0.27686956521739137
HG01352	0.295695652173913
HG01353	0.23073913043478259
HG01354	0.18808695652173915
HG01355	0.24178260869565224
HG01356	0.32904347826086955
HG01357	0.2972173913043479
HG01358	0.3289565217391305
HG01359	0.28373913043478255
HG01360	0.228695652173913
HG01361	0.2593043478260869
HG01365	0.2868695652173913
HG01366	0.27360869565217394
HG01367	0.282
HG01374	0.2725652173913044
HG01375	0.3018695652173913
HG01376	0.28300000000000003
HG01377	0.3215652173913043
HG01378	0.3637391304347826
HG01379	0.33899999999999997
HG01383	0.2644347826086957
HG01384	0.26826086956521744
HG01385	0.2569565217391304
HG01389	0.18430434782608698
HG01390	0.3208260869565217
HG01391	0.252304347826087
HG01431	0.2894347826086956
HG01432	0.2583913043478261
HG01433	0.26595652173913037
HG01437	0.15652173913043477
HG01438	0.09934782608695651
HG01439	0.11813043478260868
HG01455	0.41443478260869565
HG01456	0.40304347826086956
HG01457	0.39899999999999997
HG01461	0.39208695652173914
HG01462	0.30591304347826087
HG01463	0.3451739130434783
HG01464	0.319608695652174
HG01465	0.23565217391304352
HG01466	0.27982608695652184
HG01488	0.1844347826086956
HG01489	0.15834782608695652
HG01490	0.14495652173913043
HG01491	0.1979565217391304
HG01492	0.24165217391304347
HG01493	0.20269565217391308
HG01494	0.4090869565217391
HG01495	0.3768260869565218
HG01496	0.3773043478260869
HG01497	0.36621739130434783
HG01498	0.368391304347826
HG01499	0.3612173913043478
HG01550	0.245
HG01551	0.24508695652173912
HG01552	0.21973913043478263
HG01565	0.6452608695652173
HG01566	0.45082608695652165
HG01567	0.5532608695652174
HG01571	0.6300000000000001
HG01573	0.7546521739130434
HG01577	0.43756521739130433
HG01578	0.5873913043478262
HG01579	0.49686956521739134
HG01892	0.6593913043478261
HG01893	0.5609565217391304
HG01898	0.5928260869565218
HG01917	0.7720434782608693
HG01918	0.7252608695652174
HG01919	0.7329130434782608
HG01921	0.7045652173913044
HG01922	0.7934347826086957
HG01924	0.6590434782608696
HG01925	0.7939999999999997
HG01928	0.9121304347826087
HG01932	0.7241304347826086
HG01933	0.6205217391304347
HG01934	0.6548695652173913
HG01935	0.6805652173913045
HG01936	0.6157826086956522
HG01937	0.6215652173913043
HG01939	0.7159565217391305
HG01940	0.8054782608695652
HG01941	0.7436956521739129
HG01942	0.7725652173913042
HG01943	0.7647826086956523
HG01944	0.6702608695652175
HG01945	0.7189130434782609
HG01946	0.6790434782608695
HG01947	0.6158260869565219
HG01948	0.6370869565217392
HG01949	0.6103043478260869
HG01950	0.7500869565217393
HG01952	0.826391304347826
HG01953	0.8152608695652173
HG01955	0.8632608695652175
HG01967	0.6181304347826088
HG01969	0.7504347826086956
HG01970	0.633
HG01971	0.5162173913043479
HG01972	0.5579130434782609
HG01973	0.7100434782608696
HG01975	0.8082608695652176
HG01976	0.6091739130434782
HG01977	0.7237391304347824
HG01978	0.6720869565217391
HG01979	0.6471304347826088
HG01980	0.6721739130434784
HG01981	0.6392173913043477
HG01982	0.7116956521739132
HG01983	0.653
HG01984	0.6713478260869564
HG01991	0.680304347826087
HG01992	0.8132608695652175
HG01993	0.7476521739130437
HG01997	0.8093478260869564
HG01998	0.7795652173913044
HG02002	0.7146086956521738
HG02003	0.7545217391304347
HG02004	0.7507826086956522
HG02008	0.7396521739130434
HG02089	0.6346956521739131
HG02090	0.5647391304347826
HG02091	0.5700000000000001
HG02104	0.7986521739130434
HG02106	0.8642608695652175
HG02146	0.77
HG02148	0.8259565217391307
HG02260	0.7424347826086957
HG02261	0.822391304347826
HG02273	0.9126086956521738
HG02277	0.6359565217391304
HG02279	0.7865217391304349
HG02285	0.7255217391304345
HG02286	0.6858695652173913
HG02287	0.6885652173913044
HG02292	0.770391304347826
HG02293	0.8323913043478263
HG02298	0.585
HG02299	0.7938260869565217
HG02300	0.6614782608695652
HG02301	0.7720434782608696
HG02302	0.5932173913043478
HG02303	0.6909130434782608
NA19648	0.11126086956521739
NA19649	0.23917391304347832
NA19650	0.1643913043478261
NA19651	0.2814782608695651
NA19652	0.2714347826086957
NA19653	0.2789130434782609
NA19654	0.5216521739130434
NA19655	0.34452173913043477
NA19656	0.4260869565217392
NA19657	0.5455217391304348
NA19658	0.3417826086956521
NA19659	0.44382608695652165
NA19660	0.4542173913043478
NA19661	0.45708695652173914
NA19662	0.4365652173913044
NA19663	0.5477826086956522
NA19664	0.480695652173913
NA19665	0.5134347826086957
NA19669	0.3541304347826087
NA19670	0.4611304347826087
