SAMPLE	EUR_ANCESTRY
HG00551	0.6980869565217391
HG00552	0.7550000000000001
HG00553	0.5647826086956522
HG00554	0.7079130434782609
HG00555	0.6431304347826087
HG00637	0.6276086956521739
HG00638	0.6184782608695653
HG00639	0.6568260869565218
HG00640	0.7341304347826086
HG00641	0.7007826086956522
HG00642	0.7345652173913042
HG00731	0.7967391304347826
HG00732	0.7205652173913044
HG00733	0.7583043478260869
HG00734	0.6237826086956522
HG00735	0.685086956521739
HG00736	0.7582608695652174
HG00737	0.7230434782608696
HG00738	0.738
HG00739	0.8018260869565216
HG00740	0.6518695652173913
HG00741	0.7144782608695652
HG01047	0.7350434782608695
HG01048	0.6891739130434782
HG01049	0.5777826086956521
HG01050	0.6332608695652173
HG01051	0.5367391304347826
HG01052	0.559608695652174
HG01053	0.573608695652174
HG01054	0.7145652173913044
HG01055	0.6812608695652174
HG01056	0.7010434782608695
HG01060	0.7093913043478262
HG01061	0.7329565217391303
HG01062	0.739391304347826
HG01066	0.7401304347826086
HG01067	0.7079130434782607
HG01068	0.7224347826086958
HG01069	0.6924782608695653
HG01070	0.718608695652174
HG01071	0.7132608695652173
HG01072	0.699695652173913
HG01073	0.6903913043478261
HG01074	0.7067391304347828
HG01075	0.7614347826086957
HG01079	0.6370000000000001
HG01080	0.653913043478261
HG01081	0.6437391304347827
HG01082	0.577304347826087
HG01083	0.6676086956521737
HG01084	0.6263478260869566
HG01085	0.677304347826087
HG01086	0.6258260869565218
HG01087	0.6565217391304347
HG01094	0.6661304347826087
HG01095	0.6742608695652174
HG01096	0.6893478260869567
HG01097	0.6773913043478259
HG01098	0.6903913043478263
HG01099	0.688304347826087
HG01100	0.6475217391304348
HG01101	0.6094782608695652
HG01102	0.6305652173913044
HG01103	0.6522608695652174
HG01104	0.7030869565217391
HG01105	0.7562608695652173
HG01106	0.7329130434782608
HG01107	0.5716521739130433
HG01108	0.2610869565217392
HG01109	0.4258260869565217
HG01110	0.6553478260869567
HG01111	0.6705652173913044
HG01112	0.8182608695652173
HG01113	0.6222608695652173
HG01114	0.7332173913043477
HG01124	0.5305217391304349
HG01125	0.5645217391304347
HG01126	0.5403478260869565
HG01133	0.7647391304347827
HG01134	0.5927391304347825
HG01135	0.661608695652174
HG01136	0.6053478260869565
HG01137	0.5634347826086956
HG01138	0.5853478260869565
HG01139	0.5034347826086957
HG01140	0.6126521739130435
HG01141	0.5698695652173914
HG01148	0.603391304347826
HG01149	0.4348260869565218
HG01150	0.5438260869565217
HG01167	0.571391304347826
HG01168	0.8227391304347825
HG01169	0.7064347826086959
HG01170	0.6562608695652175
HG01171	0.6198695652173913
HG01172	0.6518260869565217
HG01173	0.7927391304347826
HG01174	0.7223913043478261
HG01175	0.7590434782608695
HG01176	0.6619565217391304
HG01177	0.6723913043478261
HG01178	0.7041304347826085
HG01182	0.6424347826086956
HG01183	0.6435652173913045
HG01184	0.6407391304347827
HG01187	0.5325652173913044
HG01188	0.5211304347826087
HG01189	0.5376086956521738
HG01190	0.5546086956521737
HG01191	0.6407391304347826
HG01192	0.6045217391304348
HG01197	0.7076086956521739
HG01198	0.6101304347826086
HG01199	0.670695652173913
HG01204	0.6948695652173914
HG01205	0.6994782608695652
HG01206	0.6995652173913044
HG01241	0.22756521739130434
HG01242	0.4230869565217392
HG01243	0.33573913043478265
HG01247	0.5596086956521737
HG01248	0.7032173913043479
HG01249	0.6626956521739131
HG01250	0.5418260869565217
HG01251	0.6540869565217391
HG01252	0.5929565217391305
HG01253	0.675086956521739
HG01254	0.4793478260869565
HG01255	0.5775217391304348
HG01256	0.7402608695652175
HG01257	0.622695652173913
HG01258	0.7023043478260869
HG01259	0.7613913043478263
HG01260	0.5204782608695653
HG01261	0.6257826086956522
HG01271	0.5939565217391304
HG01272	0.4812608695652175
HG01273	0.5193913043478261
HG01274	0.6272173913043477
HG01275	0.8630434782608696
HG01276	0.7306521739130436
HG01277	0.5828695652173913
HG01278	0.5634347826086956
HG01279	0.5889565217391304
HG01341	0.36600000000000005
HG01342	0.4249130434782609
HG01343	0.417608695652174
HG01344	0.528391304347826
HG01345	0.6495217391304349
HG01346	0.6041304347826086
HG01347	0.6983478260869564
HG01348	0.5335652173913044
HG01349	0.657608695652174
HG01350	0.5217826086956522
HG01351	0.6596956521739129
HG01352	0.6197826086956523
HG01353	0.6982173913043477
HG01354	0.7436086956521738
HG01355	0.6920869565217391
HG01356	0.5742608695652173
HG01357	0.6331304347826087
HG01358	0.5923478260869566
HG01359	0.6229565217391303
HG01360	0.6481304347826086
HG01361	0.6410434782608694
HG01365	0.5519130434782609
HG01366	0.5828695652173912
HG01367	0.554608695652174
HG01374	0.657391304347826
HG01375	0.5047391304347826
HG01376	0.5742608695652174
HG01377	0.5452173913043478
HG01378	0.5430869565217392
HG01379	0.5259999999999999
HG01383	0.6578695652173915
HG01384	0.627608695652174
HG01385	0.6472173913043477
HG01389	0.7184782608695653
HG01390	0.412304347826087
HG01391	0.5607391304347825
HG01431	0.5663478260869566
